"","source","target","value"
"156","Ростовская область","Краснодарский край",1630
"157","Ростовская область","Ростовская область",12623
"158","Рязанская область","г.Москва",1131
"159","Рязанская область","Рязанская область",3225
"160","Самарская область","г.Москва",2326
"161","Самарская область","г.Санкт-Петербург",666
"162","Самарская область","Оренбургская область",642
"163","Самарская область","Самарская область",13582
"164","Саратовская область","г.Москва",1623
"165","Саратовская область","Саратовская область",7120
"166","Сахалинская область","Сахалинская область",686
"167","Свердловская область","г.Москва",2146
"168","Свердловская область","г.Санкт-Петербург",507
"169","Свердловская область","Пермский край",740
"170","Свердловская область","Свердловская область",19641
"171","Свердловская область","Ханты-Мансийский автономный округ - Югра",712
"172","Свердловская область","Челябинская область",836
"173","Смоленская область","Смоленская область",1277
"174","Ставропольский край","г.Москва",1633
"175","Ставропольский край","Краснодарский край",1015
"176","Ставропольский край","Ставропольский край",7816
"177","Тамбовская область","г.Москва",924
"178","Тамбовская область","Тамбовская область",2838
"179","Тверская область","г.Москва",991
"180","Тверская область","Тверская область",2697
"181","Томская область","г.Москва",710
"182","Томская область","Кемеровская область",620
"183","Томская область","Томская область",4384
"184","Тульская область","г.Москва",781
"185","Тульская область","Тульская область",2580
"186","Тюменская область","г.Москва",1069
"187","Тюменская область","Тюменская область",6203
"188","Тюменская область","Ханты-Мансийский автономный округ - Югра",3704
"189","Тюменская область","Ямало-Ненецкий автономный округ",1782
"190","Удмуртская Республика","г.Москва",700
"191","Удмуртская Республика","Пермский край",917
"192","Удмуртская Республика","Удмуртская Республика",6796
"193","Ульяновская область","г.Москва",922
"194","Ульяновская область","Ульяновская область",3670
"195","Хабаровский край","г.Москва",667
"196","Хабаровский край","Хабаровский край",6339
"197","Ханты-Мансийский автономный округ - Югра","Ханты-Мансийский автономный округ - Югра",1856
"198","Челябинская область","г.Москва",1276
"199","Челябинская область","Свердловская область",618
"200","Челябинская область","Челябинская область",11785
"201","Чеченская Республика","Чеченская Республика",2275
"202","Чувашская Республика","г.Москва",552
"203","Чувашская Республика","Чувашская Республика",2187
"204","Ярославская область","г.Москва",1019
"205","Ярославская область","Ярославская область",3885
